Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
1,Abilene Christian,31,13,18,0.419,-13.93,-7.53,NA,8,10,NA,10,5,NA,2,12,NA,2209,2272,NA,1250,771,1704,0.452,209,570,0.367,458,653,0.701,269,991,422,233,78,418,681,2015-2016
2,Air Force,32,14,18,0.438,-5.51,0.66,NA,5,13,NA,12,5,NA,2,13,NA,2189,2330,NA,1300,752,1758,0.428,202,596,0.339,483,707,0.683,285,1107,420,196,58,423,617,2015-2016
3,Akron,35,26,9,0.743,5.55,-1.24,NA,13,5,NA,15,0,NA,6,8,NA,2682,2381,NA,1405,911,2111,0.432,409,1069,0.383,451,659,0.684,373,1310,507,190,137,381,618,2015-2016
4,Alabama A&M,29,11,18,0.379,-13.47,-10.75,NA,6,12,NA,6,5,NA,4,12,NA,1974,2042,NA,1175,681,1632,0.417,175,599,0.292,439,642,0.684,330,1000,366,163,61,340,561,2015-2016
5,Alabama-Birmingham,33,26,7,0.788,3.5,-3.07,NA,16,2,NA,16,0,NA,10,4,NA,2606,2323,NA,1340,942,1970,0.478,250,671,0.373,472,654,0.722,366,1259,607,213,201,414,579,2015-2016
6,Alabama State,31,14,17,0.452,-13.11,-9.35,NA,9,9,NA,8,3,NA,5,12,NA,2217,2308,NA,1260,788,1918,0.411,215,647,0.332,426,623,0.684,391,1153,372,181,107,371,646,2015-2016
7,Alabama,33,18,15,0.545,7.14,8.62,NA,8,10,NA,10,4,NA,5,8,NA,2193,2242,NA,1330,738,1750,0.422,259,763,0.339,458,712,0.643,327,1141,347,192,175,438,631,2015-2016
8,Albany (NY),33,24,9,0.727,0.93,-7.57,NA,13,3,NA,14,1,NA,10,8,NA,2495,2180,NA,1335,848,1850,0.458,188,587,0.32,611,814,0.751,387,1276,410,216,52,413,581,2015-2016
9,Alcorn State,30,15,15,0.5,-16.01,-9.94,NA,13,5,NA,9,2,NA,6,9,NA,2014,2164,NA,1225,691,1692,0.408,174,566,0.307,458,676,0.678,384,1072,272,134,111,429,548,2015-2016
10,American,31,12,19,0.387,-14.18,-6.08,NA,9,9,NA,5,7,NA,7,12,NA,1785,2036,NA,1250,631,1487,0.424,195,572,0.341,328,471,0.696,218,874,348,176,69,428,566,2015-2016
