Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
1,Abilene Christian,29,13,16,0.448,-11.86,-7.1,NA,7,11,NA,9,5,NA,4,11,NA,2009,2073,NA,1180,721,1555,0.464,207,550,0.376,360,543,0.663,222,904,408,210,83,412,631,2016-2017
2,Air Force,33,12,21,0.364,-3.06,1,NA,4,14,NA,11,7,NA,0,11,NA,2411,2477,NA,1335,817,1876,0.436,264,728,0.363,513,715,0.717,310,1149,494,197,57,390,594,2016-2017
3,Akron,36,27,9,0.75,3.59,-1.21,NA,14,4,NA,13,2,NA,7,6,NA,2772,2550,NA,1440,949,2035,0.466,366,984,0.372,508,744,0.683,357,1246,517,198,118,422,653,2016-2017
4,Alabama A&M,29,2,27,0.069,-26.99,-11.09,NA,2,16,NA,1,9,NA,1,18,NA,1794,2255,NA,1175,628,1549,0.405,125,447,0.28,411,614,0.669,299,914,326,100,50,384,526,2016-2017
5,Alabama-Birmingham,33,17,16,0.515,-1.17,-1.83,NA,9,9,NA,11,5,NA,4,8,NA,2369,2316,NA,1330,835,1809,0.462,203,583,0.348,496,674,0.736,321,1188,503,157,160,444,527,2016-2017
6,Alabama State,31,8,23,0.258,-19.75,-10.75,NA,6,12,NA,6,5,NA,1,17,NA,2042,2305,NA,1260,719,1834,0.392,200,674,0.297,404,634,0.637,427,1188,300,150,98,488,629,2016-2017
7,Alabama,34,19,15,0.559,11.29,7.47,NA,10,8,NA,11,6,NA,5,6,NA,2330,2200,NA,1380,809,1909,0.424,225,710,0.317,487,746,0.653,418,1327,390,200,141,474,664,2016-2017
8,Albany (NY),35,21,14,0.6,-0.16,-4.69,NA,10,6,NA,11,5,NA,9,8,NA,2496,2301,NA,1400,907,1941,0.467,192,516,0.372,490,647,0.757,379,1257,444,178,60,416,617,2016-2017
9,Alcorn State,32,18,14,0.563,-12.33,-10.95,NA,13,5,NA,11,2,NA,6,11,NA,2221,2175,NA,1285,800,1866,0.429,222,669,0.332,399,612,0.652,387,1243,425,209,115,452,610,2016-2017
10,American,30,8,22,0.267,-10.3,-3.5,NA,5,13,NA,4,11,NA,4,11,NA,1845,2049,NA,1205,692,1542,0.449,168,529,0.318,293,474,0.618,204,868,339,209,73,396,548,2016-2017
11,Appalachian State,30,9,21,0.3,-8.67,-1.6,NA,4,14,NA,8,6,NA,1,14,NA,2208,2279,NA,1205,749,1781,0.421,251,742,0.338,459,674,0.681,339,1126,414,167,91,414,641,2016-2017
12,Arizona State,33,15,18,0.455,4.02,7.11,NA,7,11,NA,9,7,NA,4,6,NA,2593,2695,NA,1325,888,2047,0.434,328,896,0.366,489,653,0.749,304,1075,430,194,106,344,556,2016-2017
13,Arizona NCAA,37,32,5,0.865,18.25,7.63,NA,16,2,NA,15,1,NA,9,1,NA,2833,2440,NA,1480,977,2048,0.477,244,625,0.39,635,830,0.765,380,1358,501,201,119,413,625,2016-2017
14,Little Rock,32,15,17,0.469,-6.07,-3.8,NA,6,12,NA,9,6,NA,4,9,NA,2188,2185,NA,1290,775,1749,0.443,207,599,0.346,431,582,0.741,305,1058,379,183,120,412,591,2016-2017
15,Arkansas-Pine Bluff,32,7,25,0.219,-22.81,-10.28,NA,6,12,NA,6,6,NA,1,19,NA,1977,2320,NA,1305,695,1725,0.403,208,621,0.335,379,581,0.652,335,1013,334,279,93,578,718,2016-2017
16,Arkansas State,32,20,12,0.625,0.87,-2.1,NA,11,7,NA,12,1,NA,7,9,NA,2346,2211,NA,1285,826,1792,0.461,220,579,0.38,474,743,0.638,352,1169,397,172,83,414,652,2016-2017
